Ref,Val,Package,PosX,PosY,Rot,Side
"D5","Cree LED CLV1A-FKB-CK1VW1DE1BB7C3C3","LED_Cree-PLCC4_3.2x2.8mm_CCW",243.490000,-117.250000,-90.000000,top
"FB1","FerriteBead","R_0603_1608Metric",256.000000,-26.450000,90.000000,top
"FB2","FerriteBead","R_0603_1608Metric",244.000000,-104.900000,-90.000000,top
"FB4","FerriteBead","R_0603_1608Metric",228.900000,-27.300000,-90.000000,top
"J1","XT60PB-M","AMASS_XT60-M_1x02_P7.20mm_Vertical",264.600000,-143.150000,90.000000,top
"J2","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",235.230000,-23.650000,180.000000,top
"J3","1040310811","microSD_HC_Molex_104031-0811",262.700000,-56.160000,90.000000,top
"J5","Conn_01x02_Socket","CONN_SD-39357-001_02P_MOL",265.546200,-127.740800,90.000000,top
"J6","PEC03SAAN","PinHeader_1x03_P2.54mm_Vertical",239.270000,-151.650000,0.000000,top
"J7","Screw_Terminal_01x02","CONN_SD-39357-001_02P_MOL",204.953800,-142.240800,-90.000000,top
"J8","Screw_Terminal_01x02","CONN_SD-39357-001_02P_MOL",204.953800,-131.625800,-90.000000,top
"J9","Conn_01x04","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",266.050000,-43.520000,90.000000,top
"J10","Conn_01x02_Socket","CONN_SD-39357-001_02P_MOL",265.546200,-118.516200,90.000000,top
"J11","Conn_01x02_Socket","CONN_SD-39357-001_02P_MOL",265.546200,-109.291600,90.000000,top
"J12","Conn_01x02_Socket","CONN_SD-39357-001_02P_MOL",265.546200,-100.067000,90.000000,top
"J13","Conn_01x02_Socket","CONN_SD-39357-001_02P_MOL",265.546200,-90.842400,90.000000,top
"J14","Conn_01x02_Socket","CONN_SD-39357-001_02P_MOL",265.546200,-81.617800,90.000000,top
"J15","PEC03SAAN","PinHeader_1x03_P2.54mm_Vertical",231.230000,-151.650000,0.000000,top
"J16","PEC03SAAN","PinHeader_1x03_P2.54mm_Vertical",225.116667,-151.650000,0.000000,top
"J17","PEC03SAAN","PinHeader_1x03_P2.54mm_Vertical",219.003333,-151.650000,0.000000,top
"J18","PEC03SAAN","PinHeader_1x03_P2.54mm_Vertical",212.890000,-151.650000,0.000000,top
"J19","3 Pin PWM Header","PinHeader_1x03_P2.54mm_Vertical",257.610000,-151.650000,0.000000,top
"J20","3 Pin PWM Header","PinHeader_1x03_P2.54mm_Vertical",251.496667,-151.650000,0.000000,top
"J21","PEC03SAAN","PinHeader_1x03_P2.54mm_Vertical",245.383333,-151.650000,0.000000,top
"J22","Screw_Terminal_01x02","CONN_SD-39357-001_02P_MOL",204.953800,-121.010800,-90.000000,top
"J23","Screw_Terminal_01x02","CONN_SD-39357-001_02P_MOL",204.953800,-110.395800,-90.000000,top
"J24","Screw_Terminal_01x03","CONN_SD-39357-001_03P_MOL",204.953800,-54.250899,-90.000000,top
"J25","Screw_Terminal_01x04","CONN_SD-39357-001_04P_MOL",204.953800,-68.248300,-90.000000,top
"J26","Screw_Terminal_01x06","CONN_SD-39357-001_06P_MOL",204.953800,-85.743097,-90.000000,top
"J27","SMA","SMA_Amphenol_901-144_Vertical",205.960000,-35.330000,0.000000,top
"J28","15910100","CONN_713080000-SD_10_M6p10_MOL",207.860000,-46.420001,0.000000,top
"J29","15910100","CONN_713080000-SD_10_M6p10_MOL",262.600000,-33.715851,180.000000,top
"L1","10u","L_Coilcraft_XAL5050-XXX",224.300000,-143.100000,0.000000,top
"L2","1.8u","IND_XAL6030-182MEC",239.650000,-132.000000,-90.000000,top
"L3","4.7u","L_Coilcraft_XAL4030-XXX",216.700000,-126.000000,90.000000,top
"L5","27n","L_0402_1005Metric",211.900000,-38.250000,90.000000,top
"Q6","DMN3404L-7","SOT-23",238.490000,-120.000000,0.000000,top
"Q7","DMN3404L-7","SOT-23",249.490000,-119.500000,0.000000,top
"Q8","DMN3404L-7","SOT-23",248.427500,-114.500000,180.000000,top
"R1","1.54k","R_0402_1005Metric",251.759998,-143.500000,-90.000000,top
"R2","4.22k","R_0402_1005Metric",253.509998,-147.000000,0.000000,top
"R3","40.2k","R_0402_1005Metric",254.259998,-145.000000,0.000000,top
"R4","365k","R_0402_1005Metric",256.259998,-143.500000,90.000000,top
"R5","0","R_0402_1005Metric",245.120000,-124.900000,0.000000,top
"R6","100k","R_0402_1005Metric",248.250000,-126.405000,90.000000,top
"R7","130k","R_0402_1005Metric",244.250000,-134.905000,0.000000,top
"R8","10k","R_0402_1005Metric",246.750000,-133.905000,0.000000,top
"R9","40.2k","R_0402_1005Metric",235.700000,-137.960000,180.000000,top
"R10","10k","R_0402_1005Metric",234.225000,-137.500000,90.000000,top
"R11","100k","R_0402_1005Metric",232.750000,-140.990000,90.000000,top
"R12","10k","R_0402_1005Metric",222.320000,-95.275000,0.000000,top
"R15","5.1k","R_0402_1005Metric",236.650000,-29.950000,-90.000000,top
"R16","10k","R_0402_1005Metric",240.000000,-103.000000,0.000000,top
"R17","100k","R_0402_1005Metric",222.450000,-123.450000,90.000000,top
"R18","10k","R_0402_1005Metric",224.050000,-120.000000,90.000000,top
"R19","23.2k","R_0402_1005Metric",224.500000,-121.500000,180.000000,top
"R20","5.1k","R_0402_1005Metric",233.480000,-29.950000,90.000000,top
"R21","10k","R_0402_1005Metric",262.862500,-63.565000,180.000000,top
"R22","47k","R_0402_1005Metric",249.800000,-62.070000,-90.000000,top
"R23","47k","R_0402_1005Metric",250.900000,-62.070000,-90.000000,top
"R25","47k","R_0402_1005Metric",252.000000,-62.070000,-90.000000,top
"R26","47k","R_0402_1005Metric",254.200000,-62.070000,-90.000000,top
"R27","33k","R_0402_1005Metric",232.780000,-34.180000,-90.000000,top
"R28","82k","R_0402_1005Metric",232.780000,-36.190000,-90.000000,top
"R31","150","R_0402_1005Metric",259.260000,-137.054999,-90.000000,top
"R32","133k","R_0402_1005Metric",251.710000,-133.290000,90.000000,top
"R33","13.7k","R_0402_1005Metric",250.210000,-133.800000,0.000000,top
"R34","1.5M","R_0402_1005Metric",248.759998,-138.250000,-90.000000,top
"R35","100k","R_0402_1005Metric",248.759998,-136.250000,-90.000000,top
